taxa,model_used,epbc_status,epbc_listed_name,npw_status,npw_listed_name,future_status,future_listed_name
Sinumelon petum,sdm,,,,,,
Smardaea australis,ibra,,,,,,
Sminthopsis psammophila,sdm,EN,Sminthopsis psammophila,V,Sminthopsis psammophila,VU,Sminthopsis psammophila
Spatula rhynchotis,sdm,,,R,Spatula rhynchotis,RA,Spatula rhynchotis
Spyridium bifidum,sdm,,,V,Spyridium bifidum ssp. bifidum,VU,Spyridium bifidum ssp. bifidum
Stackhousia megaloptera,sdm,,,,,RA,Stackhousia megaloptera
Stagonopleura guttata,sdm,VU,Stagonopleura guttata,V,Stagonopleura guttata,VU,Stagonopleura guttata
Stenanthemum arens,sdm,,,R,Stenanthemum arens,RA,Stenanthemum arens
Stictonetta naevosa,sdm,,,V,Stictonetta naevosa,,
Swainsona colutoides,sdm,,,,,RA,Swainsona colutoides
Swainsona fuscoviridis,ibra,,,R,Swainsona fuscoviridis,RA,Swainsona fuscoviridis
Swainsona microcalyx,sdm,,,R,Swainsona microcalyx,RA,Swainsona microcalyx
Swainsona pyrophila,sdm,VU,Swainsona pyrophila,R,Swainsona pyrophila,RA,Swainsona pyrophila
Swainsona tephrotricha,sdm,,,,,RA,Swainsona tephrotricha
Syrdenoidius spinipes,ibra,,,,,,
Tandanus tandanus,sdm,,,,,EN,Tandanus tandanus
Tecticornia calyptrata,sdm,,,,,VU,Tecticornia calyptrata
Tecticornia halocnemoides,sdm,,,,,RA,Tecticornia halocnemoides ssp. tenuis
Tecticornia lylei,sdm,,,,,RA,Tecticornia lylei
Tecticornia triandra,sdm,,,,,RA,Tecticornia triandra
Temognatha pascoei,ibra,,,,,,
Thelymitra nuda,sdm,,,,,RA,Thelymitra nuda
Thysanotus tenellus,sdm,,,R,Thysanotus tenellus,RA,Thysanotus tenellus
Trichosurus vulpecula,sdm,,,R,Trichosurus vulpecula,RA,Trichosurus vulpecula
Tringa nebularia,sdm,EN,Tringa nebularia,,,,
Trymalium wayi,sdm,,,,,,
Turnix pyrrhothorax,sdm,,,R,Turnix pyrrhothorax,RA,Turnix pyrrhothorax
Turnix varius,sdm,,,R,Turnix varius varius,RA,Turnix varius varius
Tympanocryptis tolleyi,sdm,,,,,,
Varanus varius,sdm,,,R,Varanus varius,RA,Varanus varius
Velleia paradoxa,sdm,,,,,RA,Velleia paradoxa
Vermicella annulata,sdm,,,R,Vermicella annulata,RA,Vermicella annulata
Vittadinia arida,sdm,,,,,RA,Vittadinia arida
Vittadinia australasica,sdm,,,V,Vittadinia australasica var. oricola,,
Wahlenbergia gracilis,sdm,,,,,RA,Wahlenbergia gracilis
Wurmbea centralis,sdm,,,,,RA,Wurmbea centralis
Wurmbea decumbens,sdm,,,R,Wurmbea decumbens,,
Wurmbea stellata,ibra,,,R,Wurmbea stellata,,
Xanthoparmelia ferruma,ibra,,,,,,
Xerochrysum hispidum,ibra,,,,,,
Zapornia tabuensis,sdm,,,R,,,
